id,name,club,year,page,region_for_year,points,elo,tournaments,regions_seen,region_by_year_full,last_seen_region,last_seen_year,last_seen_page
258,Флай,,2025,1,,,,,central,"{""2024"": ""central""}",central,2024,1
1401,Неон,,2022,1,,,,,central,"{""2025"": ""central""}",central,2025,1
1401,Неон,,2023,1,,,,,central,"{""2025"": ""central""}",central,2025,1
1401,Неон,,2024,1,,,,,central,"{""2025"": ""central""}",central,2025,1
1401,Неон,,2025,1,central,223,2800,16,central,"{""2025"": ""central""}",central,2025,1
1373,ZHIREKTOR,,2022,1,,,,,central,"{""2025"": ""central""}",central,2025,1
1373,ZHIREKTOR,,2023,1,,,,,central,"{""2025"": ""central""}",central,2025,1
1373,ZHIREKTOR,,2024,1,,,,,central,"{""2025"": ""central""}",central,2025,1
1373,ZHIREKTOR,,2025,1,central,217,2708,16,central,"{""2025"": ""central""}",central,2025,1
1435,MSR,,2022,1,,,,,central,"{""2025"": ""central""}",central,2025,1
1435,MSR,,2023,1,,,,,central,"{""2025"": ""central""}",central,2025,1
1435,MSR,,2024,1,,,,,central,"{""2025"": ""central""}",central,2025,1
1435,MSR,,2025,1,central,197,2739,18,central,"{""2025"": ""central""}",central,2025,1
67,Стоников,,2022,1,,,,,central,"{""2025"": ""central""}",central,2025,1
67,Стоников,,2023,1,,,,,central,"{""2025"": ""central""}",central,2025,1
67,Стоников,,2024,1,,,,,central,"{""2025"": ""central""}",central,2025,1
67,Стоников,,2025,1,central,180,2804,16,central,"{""2025"": ""central""}",central,2025,1
1,fx,,2022,1,chernozem_region,0,2327,0,chernozem_region,"{""2022"": ""chernozem_region"", ""2025"": ""chernozem_region""}",chernozem_region,2025,1
1,fx,,2023,1,,,,,chernozem_region,"{""2022"": ""chernozem_region"", ""2025"": ""chernozem_region""}",chernozem_region,2025,1
1,fx,,2024,1,,,,,chernozem_region,"{""2022"": ""chernozem_region"", ""2025"": ""chernozem_region""}",chernozem_region,2025,1
1,fx,,2025,1,chernozem_region,74,2327,6,chernozem_region,"{""2022"": ""chernozem_region"", ""2025"": ""chernozem_region""}",chernozem_region,2025,1
2,Malinka,,2022,1,chernozem_region,0,2291,0,chernozem_region,"{""2022"": ""chernozem_region"", ""2023"": ""chernozem_region"", ""2024"": ""chernozem_region"", ""2025"": ""chernozem_region""}",chernozem_region,2025,1
2,Malinka,,2023,1,chernozem_region,127,2291,20,chernozem_region,"{""2022"": ""chernozem_region"", ""2023"": ""chernozem_region"", ""2024"": ""chernozem_region"", ""2025"": ""chernozem_region""}",chernozem_region,2025,1
2,Malinka,,2024,1,chernozem_region,55,2291,5,chernozem_region,"{""2022"": ""chernozem_region"", ""2023"": ""chernozem_region"", ""2024"": ""chernozem_region"", ""2025"": ""chernozem_region""}",chernozem_region,2025,1
2,Malinka,,2025,1,chernozem_region,81,2291,5,chernozem_region,"{""2022"": ""chernozem_region"", ""2023"": ""chernozem_region"", ""2024"": ""chernozem_region"", ""2025"": ""chernozem_region""}",chernozem_region,2025,1
3,Ols,,2022,1,chernozem_region,0,1810,0,chernozem_region,"{""2022"": ""chernozem_region""}",chernozem_region,2022,1
3,Ols,,2023,1,,,,,chernozem_region,"{""2022"": ""chernozem_region""}",chernozem_region,2022,1
3,Ols,,2024,1,,,,,chernozem_region,"{""2022"": ""chernozem_region""}",chernozem_region,2022,1
3,Ols,,2025,1,,,,,chernozem_region,"{""2022"": ""chernozem_region""}",chernozem_region,2022,1
4,Rob,,2022,1,chernozem_region,0,1537,0,chernozem_region,"{""2022"": ""chernozem_region""}",chernozem_region,2022,1
4,Rob,,2023,1,,,,,chernozem_region,"{""2022"": ""chernozem_region""}",chernozem_region,2022,1
4,Rob,,2024,1,,,,,chernozem_region,"{""2022"": ""chernozem_region""}",chernozem_region,2022,1
4,Rob,,2025,1,,,,,chernozem_region,"{""2022"": ""chernozem_region""}",chernozem_region,2022,1
5,Элишка,,2022,1,chernozem_region,0,1668,0,chernozem_region,"{""2022"": ""chernozem_region""}",chernozem_region,2022,1
5,Элишка,,2023,1,,,,,chernozem_region,"{""2022"": ""chernozem_region""}",chernozem_region,2022,1
5,Элишка,,2024,1,,,,,chernozem_region,"{""2022"": ""chernozem_region""}",chernozem_region,2022,1
5,Элишка,,2025,1,,,,,chernozem_region,"{""2022"": ""chernozem_region""}",chernozem_region,2022,1
6,Малина,,2022,1,chernozem_region,0,1820,0,chernozem_region,"{""2022"": ""chernozem_region""}",chernozem_region,2022,1
6,Малина,,2023,1,,,,,chernozem_region,"{""2022"": ""chernozem_region""}",chernozem_region,2022,1
6,Малина,,2024,1,,,,,chernozem_region,"{""2022"": ""chernozem_region""}",chernozem_region,2022,1
6,Малина,,2025,1,,,,,chernozem_region,"{""2022"": ""chernozem_region""}",chernozem_region,2022,1
7,QoodrooQ,,2022,1,chernozem_region,0,1738,0,chernozem_region,"{""2022"": ""chernozem_region""}",chernozem_region,2022,1
7,QoodrooQ,,2023,1,,,,,chernozem_region,"{""2022"": ""chernozem_region""}",chernozem_region,2022,1
7,QoodrooQ,,2024,1,,,,,chernozem_region,"{""2022"": ""chernozem_region""}",chernozem_region,2022,1
7,QoodrooQ,,2025,1,,,,,chernozem_region,"{""2022"": ""chernozem_region""}",chernozem_region,2022,1
16,Барс,,2022,1,chernozem_region,0,1190,0,chernozem_region,"{""2022"": ""chernozem_region""}",chernozem_region,2022,1
16,Барс,,2023,1,,,,,chernozem_region,"{""2022"": ""chernozem_region""}",chernozem_region,2022,1
16,Барс,,2024,1,,,,,chernozem_region,"{""2022"": ""chernozem_region""}",chernozem_region,2022,1
16,Барс,,2025,1,,,,,chernozem_region,"{""2022"": ""chernozem_region""}",chernozem_region,2022,1
21,Венера,,2022,1,chernozem_region,0,1210,0,chernozem_region,"{""2022"": ""chernozem_region""}",chernozem_region,2022,1
